time err max
0.0224138 5.78417 1.21985
0.082858 0.97659 3.17162
0.137562 0.605799 4.87942
0.228415 0.458429 6.09927
0.33266 0.379521 10.0028
0.433907 0.329474 9.75883
0.569308 0.296469 9.75883
0.717336 0.268262 12.6865
0.880141 0.247627 14.1503
1.05799 0.233262 13.1744
1.23335 0.220335 14.8822
1.42033 0.205773 16.59
1.63803 0.195032 22.2013
1.87135 0.188558 19.5177
2.09749 0.180735 17.5659
2.3362 0.175137 18.2978
2.60668 0.170341 20.7375
2.8886 0.16683 21.7134
3.1838 0.163438 22.6893
3.48854 0.152702 25.6169
3.78902 0.151709 19.5177
4.09934 0.147979 28.0566
4.42303 0.147533 28.5446
4.75538 0.145944 32.9361
5.11466 0.142942 27.0808
5.48772 0.137211 30.0084
5.85129 0.136814 28.5446
6.2266 0.134912 29.2765
6.63476 0.132013 31.7162
7.02829 0.130528 31.2283
7.44984 0.127769 36.8396
7.88085 0.124971 30.9843
8.30299 0.125187 35.6197
8.73556 0.122558 30.0084
9.17698 0.120799 34.6438
9.62758 0.119944 41.475
10.0997 0.120339 35.1318
10.5659 0.119499 39.0353
11.0408 0.118901 42.6949
11.5222 0.115536 42.9389
12.0126 0.116108 43.6708
12.512 0.112946 42.4509
13.0336 0.112935 40.7431
13.5469 0.110844 38.3034
14.0854 0.111378 45.3786
14.6302 0.111618 44.6466
15.182 0.110433 43.1828
15.7405 0.109617 51.7218
16.3219 0.107278 42.2069
16.9156 0.107851 48.0622
17.476 0.106794 50.7459
18.061 0.107367 40.4991
18.6516 0.105503 42.9389
19.2475 0.108044 46.5984
19.8508 0.106138 46.3544
20.4413 0.104536 50.258
21.0557 0.10373 47.8183
21.6745 0.104522 51.4778
22.2829 0.103223 49.5261
22.8952 0.103527 48.5502
23.514 0.101268 50.014
24.1572 0.101552 50.5019
24.7885 0.100655 51.7218
25.4395 0.100263 48.0622
26.0967 0.101062 60.7487
26.7414 0.0994602 53.4296
27.4063 0.10008 54.8934
28.0746 0.0976376 55.6253
28.7474 0.0976464 52.2097
29.4267 0.098857 56.8452
30.0928 0.0973718 58.797
30.7679 0.0972848 54.8934
31.7376 0.0980015 60.9927

32.46 0.0987948 48.7942
33.2589 0.0969119 52.2097
33.9744 0.0968605 53.9175
34.6677 0.0940731 53.9175
35.3644 0.0951458 52.6977
36.0634 0.0947992 61.9686
36.7663 0.0953817 63.4324
37.4723 0.0957193 56.6012
38.2233 0.094674 57.0892
38.9742 0.0947328 60.5047
39.6933 0.0960985 59.7728
40.419 0.0939832 56.6012
41.1454 0.094022 57.0892
41.873 0.0928887 63.6764
42.6033 0.0922288 66.1161
43.3363 0.0924737 59.0409
44.0735 0.0919408 59.2849
44.8144 0.0904144 56.1133
45.5565 0.0906366 58.553
46.3257 0.0920679 60.7487
47.1124 0.0920594 63.6764
47.8853 0.0922612 60.2608
48.644 0.0910798 67.092
49.483 0.0903456 65.1402
50.2412 0.0888916 59.5289
51.002 0.0905589 70.0196
51.766 0.092279 54.8934
52.5306 0.0896888 70.2636
53.2982 0.0886799 64.1643
54.0697 0.0901141 61.9686
54.8433 0.0909347 50.5019
55.6179 0.0908447 64.8962
56.3953 0.0880534 68.3118
57.1751 0.0897698 70.9955
57.9559 0.0915675 63.4324
58.7382 0.0919584 63.4324
59.526 0.0893826 70.0196
60.3509 0.0913594 63.9203
61.1375 0.0886639 68.7998
61.9267 0.0897587 62.9445
62.7177 0.0899248 67.8239
63.5345 0.0878296 70.5075
64.3332 0.0877162 67.5799
65.2028 0.0876496 70.7515
66.0622 0.0891124 65.6281
66.8674 0.0874723 67.092
67.6712 0.0878388 68.3118
68.9992 0.0876743 62.7005
70.9734 0.0869602 69.0437
71.7835 0.0883344 63.1884
72.5958 0.0885037 66.36
73.4082 0.0883987 78.0706
74.2234 0.0892377 65.8721
75.0474 0.0891343 68.3118
75.8644 0.0884048 72.9473
76.715 0.0878663 67.092
77.5376 0.0861786 72.9473
78.3579 0.0863795 63.4324
79.181 0.0865974 69.0437
80.0031 0.0881874 60.9927
80.8255 0.0874121 66.36
81.6489 0.086369 63.1884
82.4952 0.0871431 71.7274
83.3465 0.0882529 70.7515
84.1764 0.0873775 71.2395
85.0368 0.087656 65.6281
85.8849 0.0867715 68.3118
86.7176 0.0890284 76.1189
87.5523 0.0898288 69.7756
88.3859 0.0859172 64.4083
89.2257 0.0857736 59.5289
90.0659 0.0860205 71.2395
90.9034 0.0856476 65.1402
91.7614 0.0855039 65.6281
92.6816 0.0870239 76.3628
93.5221 0.0865572 71.9714
94.3881 0.0857682 75.6309
95.2686 0.0849284 71.2395
96.209 0.0859986 75.6309
97.0643 0.0868457 63.1884
97.9595 0.0857452 72.2153
98.9218 0.085499 77.8267
99.8266 0.0866518 77.8267
100.675 0.0844338 73.9231
101.553 0.0831805 75.6309
102.425 0.0864017 78.8026
103.649 0.0857615 64.4083
104.565 0.0852638 63.1884
105.454 0.0854603 68.5558
106.314 0.0865047 66.848
107.433 0.0857351 77.0948
108.334 0.0854332 82.4621
109.192 0.08525 68.5558
110.071 0.0863666 71.2395
110.987 0.0871451 74.1671
111.909 0.084579 67.3359
112.789 0.0845915 70.0196
113.65 0.0856035 81.9742
114.511 0.0848592 80.7543
115.372 0.08472 71.9714
116.411 0.0851509 69.5317
117.31 0.0861785 72.7033
118.193 0.0858477 73.1912
119.228 0.086688 66.1161
120.133 0.0839051 71.4834
121.004 0.0844415 72.7033
121.872 0.0841538 79.5345
122.738 0.0849318 70.5075
123.606 0.0861263 73.1912
124.553 0.0859576 67.8239
125.544 0.08624 77.0948
126.593 0.0855058 72.2153
127.692 0.0849622 68.5558
128.787 0.0846524 75.6309
129.778 0.0851186 79.7784
130.649 0.0847314 64.6523
131.518 0.085624 73.4352
132.39 0.0854665 80.5104
133.26 0.0851222 74.6551
134.133 0.0846172 71.9714
135.004 0.0844805 70.7515
135.875 0.0855002 73.9231
136.777 0.0833693 68.5558
137.651 0.0849748 75.8749
138.525 0.0852515 77.3387
139.4 0.0859564 67.092
140.275 0.0867229 71.7274
141.147 0.0841184 72.7033
142.256 0.0827327 69.0437
143.186 0.0845608 73.4352
144.082 0.0849014 66.1161
144.987 0.083761 73.6792
145.96 0.0848528 78.0706
146.943 0.0852748 63.4324
147.819 0.0855527 76.8508
148.7 0.0851096 71.2395
149.578 0.0862802 67.5799
150.456 0.084659 78.5586
151.337 0.0842161 72.9473
152.215 0.0849659 74.1671
153.096 0.0844916 68.5558
153.975 0.0833827 70.0196
154.856 0.0848105 75.8749
155.736 0.08422 64.8962
156.619 0.0847145 70.9955
157.498 0.0840343 74.899
158.378 0.0855616 81.7302
159.257 0.0845065 77.8267
160.243 0.0845455 71.2395
161.125 0.0827765 73.1912
162.01 0.084342 71.2395
162.919 0.0830803 72.9473
163.846 0.0841457 71.7274
164.758 0.0841952 75.6309
165.645 0.0833092 80.9983
166.603 0.0830742 80.7543
167.607 0.082828 75.387
168.573 0.0825154 74.1671
169.522 0.0842223 77.3387
