time err max
0.0640133 31.6358 1.21985
0.245931 0.976901 2.52103
0.526294 0.513028 4.10684
0.903877 0.351942 5.16405
1.37742 0.270157 6.74986
2.0301 0.220793 8.0917
2.69508 0.189565 8.90493
3.41994 0.164899 12.1579
4.27203 0.146052 12.3205
5.185 0.131823 13.3371
6.16869 0.121413 14.2316
7.22924 0.113436 16.2647
8.37273 0.10628 17.4846
9.59576 0.0998983 16.5087
10.8989 0.0941882 18.2978
12.2749 0.0901449 19.599
13.7254 0.0845299 21.3474
15.2512 0.0814182 22.1607
16.8978 0.0784197 23.9905
18.5674 0.0751394 25.129
20.3958 0.0734238 25.0477
22.2764 0.0706908 24.3158
24.2258 0.0681147 26.3488
26.3455 0.0667244 27.2027
28.6642 0.065429 28.4226
30.9309 0.0645513 30.7403
33.2785 0.0625537 29.8051
35.6327 0.0608343 30.2117
38.012 0.0593639 32.2855
40.4091 0.0577221 32.7734
42.8516 0.056665 32.9361
45.4469 0.0567193 33.5053
47.9964 0.055067 36.0263
50.9399 0.05563 35.1318
53.5713 0.0544167 36.1077
56.2889 0.0533245 38.3034
59.153 0.0528864 36.7989
62.0707 0.0514102 38.3034
64.8556 0.0517177 38.8727
67.6843 0.0506276 37.8561
70.5969 0.0498641 39.198
73.8438 0.0488193 39.6452
76.8071 0.0482526 42.0036
79.9212 0.0482656 41.5564
83.0382 0.0482987 41.3937
86.1954 0.0477148 45.3786
89.3678 0.0471476 43.8334
92.6022 0.0469205 44.5653
95.9781 0.0460457 47.0457
99.3612 0.0452329 47.249
102.789 0.0454961 46.7611
106.237 0.0449955 47.3303
109.697 0.0441389 49.8514
113.233 0.0444467 49.2008
116.784 0.0444143 47.6556
120.322 0.0435048 51.0306
124.222 0.0437066 50.3393
127.919 0.0428025 49.3228
131.83 0.0422738 50.7866
135.628 0.0425749 49.0788
139.354 0.0412758 49.6887
143.185 0.041992 52.1284
147.036 0.0418617 53.9989
151.051 0.0413247 54.4055
154.87 0.0409014 52.4944
158.677 0.0411957 55.544
162.557 0.0419503 54.3242
166.491 0.0420679 54.0802
170.5 0.0414648 52.6977
174.467 0.040535 54.0802
178.972 0.0404556 57.0892
183.153 0.0407999 54.9341
187.275 0.0406907 56.0726
191.283 0.0405242 58.065
195.315 0.0395384 54.8121
199.374 0.0392917 58.797
203.46 0.0396187 53.8769
207.581 0.0392591 57.6584
212.285 0.0390239 56.2353
216.724 0.0398806 59.7728
221.165 0.0392466 58.309
225.513 0.0382252 58.5936
229.751 0.0389835 59.0409
234.4 0.0389823 61.074
238.788 0.0377304 61.6026
243.369 0.0383534 62.9851
247.672 0.0386247 58.7563
252.242 0.0380353 60.8707
256.932 0.0383105 62.5785
261.585 0.0383003 60.1388
266.083 0.038161 61.8872
270.836 0.0383328 60.4234
275.256 0.037824 61.562
279.984 0.037395 61.6026
284.531 0.0382517 60.4234
289.304 0.0374191 63.3104
294.009 0.0368822 62.9851
299.125 0.0369421 61.562
304.013 0.0370308 60.7487
308.818 0.0372909 65.7908
313.666 0.0374851 66.1161
318.457 0.0367397 63.4731
323.409 0.0367927 66.482
328.505 0.0369645 63.4324
333.092 0.0369938 63.4731
337.924 0.0369972 62.9038
342.546 0.0363835 65.5468
347.198 0.0363559 65.1809
