time err max
52.4995 0.134393 75.6309
52.8527 0.134207 71.9714
53.2054 0.131414 74.4111
53.558 0.134604 76.2409
53.9293 0.134692 81.7302
54.2816 0.134801 70.1416
54.6536 0.133737 80.5104
55.0063 0.134143 60.9927
55.3609 0.133938 70.1416
55.7136 0.133356 68.3118
56.0681 0.133896 65.2622
56.421 0.133129 65.2622
56.776 0.132047 85.3898
57.1493 0.132653 78.0706
57.5225 0.132094 73.1912
57.8777 0.133608 57.3331
58.2499 0.136498 67.7019
58.6042 0.133868 70.1416
58.9611 0.132923 70.7515
59.3522 0.133505 84.7798
59.7429 0.134002 60.9927
60.1036 0.131155 73.8012
60.4765 0.133138 75.6309
60.8339 0.133559 84.1699
61.2066 0.133944 76.2409
61.5641 0.133073 64.0423
61.921 0.135114 70.1416
62.2761 0.133761 70.7515
62.6343 0.132784 78.6806
63.0067 0.131927 76.2409
63.3649 0.132442 78.6806
63.7229 0.135461 89.6593
64.0967 0.132814 70.7515
64.4549 0.132517 95.7585
64.8304 0.131604 82.3401
65.189 0.132295 71.9714
65.566 0.130837 77.4607
65.939 0.133652 69.5317
66.3137 0.13545 82.3401
66.6696 0.13278 78.0706
67.0444 0.13489 66.482
67.4209 0.13564 73.1912
67.7944 0.131204 72.5813
68.1527 0.134042 84.1699
68.5091 0.134444 61.6026
68.8845 0.134703 73.1912
69.2426 0.133307 79.2905
69.6009 0.132916 74.4111
69.9596 0.131842 76.2409
70.3366 0.131406 73.8012
70.6959 0.132644 71.9714
71.0546 0.133877 71.9714
71.4118 0.131471 62.8225
71.7709 0.131429 67.092
72.1479 0.132133 83.56
72.5266 0.13166 90.8791
72.9036 0.131344 71.9714
73.3352 0.129811 75.021
73.6938 0.132261 74.4111
74.0525 0.13141 71.9714
74.43 0.132357 80.5104
74.809 0.13232 69.5317
75.1864 0.130911 61.6026
75.5444 0.133424 68.9217
75.9046 0.134458 76.8508
76.2627 0.132831 66.482
76.6578 0.13297 78.0706
77.0665 0.137621 75.021
77.4809 0.133628 70.7515
77.8488 0.130778 64.6523
78.2071 0.133088 71.9714
78.5675 0.132461 77.4607
78.9449 0.132973 78.6806
79.306 0.131398 71.9714
79.6841 0.132739 60.9927
80.0446 0.131081 70.7515
80.4049 0.132757 75.021
80.7943 0.133677 81.1203
81.1549 0.132134 70.1416
81.5155 0.135765 75.021
81.892 0.134518 81.1203
82.2525 0.13384 71.3614
82.6128 0.135346 63.4324
