time err max
0.145514 0.979636 3.00897
0.300383 0.53815 3.57824
0.502349 0.375808 6.66853
0.754792 0.297723 6.26192
1.03485 0.249745 8.29501
1.37691 0.215448 7.80706
1.76214 0.190379 9.43354
2.19431 0.174823 11.7106
2.65179 0.159799 12.1985
3.15197 0.148505 15.4515
3.6922 0.138564 15.3702
4.27342 0.129676 16.2647
4.89462 0.123504 17.8099
5.57147 0.119316 19.6803
6.28545 0.113174 21.3068
7.01936 0.106776 21.5508
7.79339 0.104932 21.7947
8.61808 0.0995896 21.7947
9.54065 0.0982473 25.2916
10.4195 0.0953321 24.885
11.3602 0.0917596 25.5356
12.3077 0.0896473 27.2434
13.2863 0.087891 28.0566
14.3102 0.0863877 26.5928
15.3716 0.0850091 29.6018
16.4478 0.0837836 30.659
17.5536 0.0820783 28.9512
18.6895 0.0805607 30.415
19.8555 0.0793095 33.0987
21.0675 0.077991 32.9361
22.3047 0.0754283 32.6108
23.5713 0.0758401 34.8065
25.0094 0.0742223 36.433
26.4317 0.0731412 32.9361
27.8812 0.072188 37.9781
29.2823 0.0704729 37.0836
30.7998 0.0705718 39.0353
32.8233 0.0698256 38.8727
34.4107 0.0690576 43.5081
35.8951 0.0679761 40.5805
37.3651 0.0681785 43.8334
38.8572 0.0680089 43.1015
40.3708 0.0663185 44.0774
41.9093 0.0667788 43.2641
43.6024 0.0669239 45.3786
45.2866 0.0648781 44.3214
46.9566 0.0639779 46.3544
48.6076 0.0635317 47.249
50.2617 0.0625339 46.9237
52.0776 0.0631275 44.5653
53.8785 0.0632528 48.4689
55.696 0.0611216 47.249
58.2173 0.0615852 51.9658
60.0197 0.0625371 49.4447
61.7855 0.0612432 48.1436
63.5524 0.0598593 48.8755
65.338 0.0613773 52.0471
67.1431 0.0612053 51.3152
68.9598 0.0606016 50.8272
70.7932 0.0594938 56.032
72.6486 0.0600822 50.9899
74.5165 0.0595475 51.3152
76.3972 0.0580782 51.8844
78.2915 0.0577145 55.788
80.2016 0.0587835 53.5922
82.1263 0.058646 56.1946
84.0662 0.0578422 54.2428
86.0179 0.0579491 54.9747
88.048 0.05638 56.1133
90.0351 0.0562488 52.6977
92.0383 0.0562677 56.6012
94.0501 0.0565976 57.0892
96.0723 0.0560255 57.0078
98.2878 0.055493 55.4627
100.59 0.0568394 57.5771
102.689 0.0559922 54.4868
105.045 0.0546364 58.9596
107.302 0.0554186 58.4717
109.529 0.0553514 61.074
111.769 0.0549742 56.5199
114.015 0.0547677 59.6915
116.283 0.0549279 58.8783
118.551 0.0553692 62.4565
120.842 0.0546528 59.6102
123.131 0.0546041 63.3511
125.538 0.0537801 62.7818
127.987 0.0534189 61.074
130.66 0.0533761 57.0892
132.946 0.0531195 61.1553
135.367 0.0535437 59.8542
137.726 0.0537662 60.5861
140.093 0.0539857 62.8631
142.533 0.0536183 62.8631
144.921 0.0530015 60.0168
147.434 0.0531403 59.8542
150.104 0.0537872 68.3118
152.682 0.0531867 63.5137
155.109 0.0525885 63.4324
157.607 0.0531782 65.0589
160.017 0.0534344 65.0589
162.561 0.0531432 66.5227
164.921 0.0523743 66.848
167.421 0.0534933 62.3752
