time err max
0.100133 0.9873 3.3546
0.196995 0.569647 4.26949
0.318637 0.41921 5.79431
0.465455 0.338093 7.92905
0.621442 0.292277 8.53898
0.799698 0.254819 10.3688
1.00303 0.228069 9.45387
1.24709 0.210958 12.0461
1.51263 0.196079 11.7411
1.80347 0.182583 11.4361
2.11462 0.172845 16.9255
2.4493 0.162781 16.1631
2.80261 0.156991 16.468
3.23897 0.148666 20.7375
3.63627 0.146061 18.1453
4.05115 0.139331 20.2801
4.46959 0.134603 23.7871
4.90622 0.130434 20.4326
5.3615 0.126907 26.0744
5.8526 0.125383 22.7198
6.34488 0.123516 28.819
6.85726 0.11999 27.9042
7.40589 0.118387 28.5141
8.00822 0.113405 29.8864
8.58934 0.111596 30.1914
9.18165 0.110838 31.7162
9.77633 0.107805 29.429
10.4262 0.108207 30.8013
11.0945 0.106345 30.1914
11.7569 0.102712 31.8687
12.5107 0.101624 30.6488
13.4895 0.101197 32.7836
14.2121 0.0975149 36.9006
14.9285 0.0960203 36.2907
15.7182 0.0983283 35.3758
16.4882 0.0961089 36.4431
17.2272 0.092935 38.4254
17.9803 0.0931309 38.8828
18.7455 0.0934105 44.0672
19.5966 0.0904363 36.9006
20.5003 0.0902501 42.8474
21.3829 0.0906572 40.5601
22.2381 0.0892034 42.9998
23.151 0.0893002 44.3722
24.0296 0.0896808 44.8296
24.944 0.0874651 43.7623
25.9333 0.0875296 48.1842
26.8687 0.086314 43.9147
27.8645 0.0852244 42.085
28.8327 0.0856109 44.6771
29.7333 0.0839858 46.0495
30.6901 0.0818116 49.4041
31.712 0.0833856 45.1346
32.7654 0.0841069 48.6417
33.8379 0.0821026 47.5743
34.8711 0.0834979 46.9644
35.9672 0.0816143 47.1169
37.0859 0.0818036 45.897
38.2307 0.0808389 47.7268
39.2151 0.0798506 50.319
40.2047 0.0799093 52.4537
41.206 0.0795955 51.9963
42.2145 0.0786306 49.5566
43.2295 0.0779593 54.5885
44.2507 0.0788944 59.3154
45.2788 0.0783969 54.5885
46.3143 0.0784532 57.6381
47.431 0.0776308 52.3012
48.4855 0.0777405 59.7728
49.7546 0.0782611 60.2303
50.9742 0.0771783 59.7728
52.1299 0.0772547 53.6736
53.3484 0.0778928 54.7409
54.5437 0.075358 54.8934
55.6815 0.0753494 60.5352
57.3956 0.0748162 63.5849
58.5018 0.0748259 60.2303
59.6156 0.0752559 61.9076
60.7349 0.0757718 53.9785
61.8604 0.0740863 61.1452
62.9922 0.0736985 57.6381
64.128 0.0736611 58.248
65.2708 0.0746884 66.6345
66.4161 0.0747975 66.9395
67.6081 0.0741986 61.6026
68.8381 0.0728771 64.1948
70.0065 0.0740966 60.5352
71.1768 0.0730973 54.5885
72.3505 0.0726123 64.6523
73.529 0.0722162 62.8225
74.8062 0.0722335 58.8579
76.418 0.0730083 63.7374
77.7204 0.0724825 63.4324
79.001 0.0726335 58.553
80.2636 0.0721268 68.1593
81.5078 0.0713673 62.975
82.854 0.0709872 71.6664
84.1245 0.0711589 62.67
85.3951 0.070742 60.0778
86.7009 0.0705059 60.8402
87.9426 0.0708939 68.7693
89.5239 0.0702244 67.3969
90.7923 0.0721332 66.1771
92.0588 0.0707385 62.975
93.3602 0.0718312 69.2267
94.7552 0.0704374 64.6523
96.0455 0.0714598 66.1771
97.3364 0.0717412 62.0601
98.5947 0.0705413 62.975
99.8526 0.0696176 60.5352
101.151 0.0711336 64.3473
102.432 0.0713384 62.2125
103.736 0.0702001 71.9714
105.025 0.0709839 65.8721
106.331 0.0712689 69.0742
107.607 0.0704234 59.9253
108.882 0.0693108 67.3969
110.268 0.0700184 68.3118
111.59 0.0700558 68.0068
112.915 0.0692169 68.3118
114.203 0.0694417 66.3296
115.493 0.0699351 64.0423
116.854 0.069515 73.8012
118.225 0.068143 68.6168
119.577 0.0688603 66.1771
120.909 0.07088 71.8189
122.832 0.0688761 68.4643
124.234 0.0683316 67.7019
125.606 0.0694868 75.326
126.925 0.0699983 66.3296
128.272 0.0705184 68.7693
129.705 0.0681829 69.5317
131.445 0.0683847 69.8366
133.08 0.0700054 66.3296
134.871 0.0689362 69.0742
136.267 0.0686332 67.5494
137.712 0.0687324 73.0387
139.693 0.069187 69.6841
141.727 0.0685065 72.1239
143.211 0.0677585 73.9536
145.35 0.0679795 70.7515
147.067 0.0689201 74.4111
148.464 0.0682694 72.1239
149.796 0.0669298 71.9714
151.139 0.0685305 65.7196
152.513 0.0692879 67.092
153.852 0.0676904 69.6841
155.326 0.0683987 70.2941
156.768 0.0692222 77.4607
158.222 0.0691192 72.2763
159.616 0.0687444 73.4962
161.113 0.0675461 71.5139
162.517 0.0680085 70.1416
164.113 0.0682091 69.2267
165.578 0.0667803 69.8366
167.142 0.0667011 69.5317
168.677 0.0679362 74.8685
