Sparse graphs
k\n, 4941, 5000, 8000, 10680, 15000
2, 13.56, 20.15, 24.40, -, 89.56
4, 25.59, 6.74, 15.99, -, 79.5837
8, 12.63, 7.44, 6.90, 32.46, 36.15
16, 6.83, 2.89, 6.82, 15.57, 31.42
32, 3.93, 2.09, 6.89, 18.47, 24.55
50, 4.72, 2.5, 6.67, 12.901, 27.79
62, 2.65, 2.8, 6.27, 12.28, 27.78

Dense graphs
k\n, 2000, 5000, 7000, 10000
2, 0.65, 2.61, 6.58, 15.83
8, 0.36, 1.85, 6.43, 13.02
32, 0.37, 3.58, 10.22, 15.18
62, 0.43, 2.18, 6.20, 15.95
